Referencia;Atributo;Valor
LFNSSM-CON-8001;Talla:select,Color:select;L,Blanco
LFNSSM-CON-8003;Talla:select,Color:select;Talla única,Blanco
LFNSSM-CRS-0006;Talla:select,Color:select;M,Púrpura
LFNSSM-CRS-0006;Talla:select,Color:select;S,Púrpura
LFNSSM-CRS-0006;Talla:select,Color:select;L,Púrpura
LFNSSM-CRS-0006;Talla:select,Color:select;XL,Púrpura
LFNSSM-CRS-0009;Talla:select,Color:select;S,Blanco
LFNSSM-CRS-0009;Talla:select,Color:select;M,Blanco
LFNSSM-CRS-0009;Talla:select,Color:select;L,Blanco
LFNSSM-CRS-0009;Talla:select,Color:select;XL,Blanco
LFNSSM-CRS-0010;Talla:select;S
LFNSSM-CRS-0010;Talla:select;M
LFNSSM-CRS-0010;Talla:select;L
LFNSSM-CRS-0010;Talla:select;XL
LFNSSM-CRS-0056;Talla:select,Color:select;S,Negro
LFNSSM-CRS-0056;Talla:select,Color:select;M,Negro
LFNSSM-CRS-0056;Talla:select,Color:select;L,Negro
LFNSSM-CRS-0056;Talla:select,Color:select;XL,Negro
LFNSSM-CRS-0056;Talla:select,Color:select;XXL,Negro
LFNSSM-CRS-0153;Talla:select;S
LFNSSM-CRS-0153;Talla:select;M
LFNSSM-CRS-0153;Talla:select;L
LFNSSM-CRS-0153;Talla:select;XL
LFNSSM-CRS-0166;Talla:select;S
LFNSSM-CRS-0166;Talla:select;M
LFNSSM-CRS-0166;Talla:select;L
LFNSSM-CRS-0166;Talla:select;XL
LFNSSM-CRS-0173;Talla:select;S
LFNSSM-CRS-0173;Talla:select;M
LFNSSM-CRS-0173;Talla:select;L
LFNSSM-CRS-0173;Talla:select;XL
LFNSSM-CRS-0173;Talla:select;XXL
LFNSSM-CRS-0176;Talla:select;S
LFNSSM-CRS-0176;Talla:select;M
LFNSSM-CRS-0176;Talla:select;L
LFNSSM-CRS-0176;Talla:select;XL
LFNSSM-CRS-0177;Talla:select;S
LFNSSM-CRS-0177;Talla:select;M
LFNSSM-CRS-0177;Talla:select;L
LFNSSM-CRS-0177;Talla:select;XL
LFNSSM-CRS-0181;Talla:select;S
LFNSSM-CRS-0181;Talla:select;M
LFNSSM-CRS-0181;Talla:select;L
LFNSSM-CRS-0181;Talla:select;XL
LFNSSM-CRS-0187;Talla:select;S
LFNSSM-CRS-0187;Talla:select;M
LFNSSM-CRS-0187;Talla:select;L
LFNSSM-CRS-0187;Talla:select;XL
LFNSSM-CRS-0190;Talla:select;S
LFNSSM-CRS-0190;Talla:select;M
LFNSSM-CRS-0190;Talla:select;L
LFNSSM-CRS-0190;Talla:select;XL
LFNSSM-CRS-0192;Talla:select;S
LFNSSM-CRS-0192;Talla:select;M
LFNSSM-CRS-0192;Talla:select;L
LFNSSM-CRS-0192;Talla:select;XL
LFNSSM-CRS-0193;Talla:select;S
LFNSSM-CRS-0193;Talla:select;M
LFNSSM-CRS-0193;Talla:select;L
LFNSSM-CRS-0193;Talla:select;XL
LFNSSM-CRS-0195;Talla:select;S
LFNSSM-CRS-0195;Talla:select;M
LFNSSM-CRS-0195;Talla:select;L
LFNSSM-CRS-0195;Talla:select;XL
LFNSSM-CRS-0214;Talla:select;S
LFNSSM-CRS-0214;Talla:select;M
LFNSSM-CRS-0214;Talla:select;L
LFNSSM-CRS-0214;Talla:select;XL
LFNSSM-CRS-0214;Talla:select;XXL
LFNSSM-CRS-0221;Talla:select;S
LFNSSM-CRS-0221;Talla:select;M
LFNSSM-CRS-0221;Talla:select;L
LFNSSM-CRS-0221;Talla:select;XL
LFNSSM-CRS-0225;Talla:select;S
LFNSSM-CRS-0225;Talla:select;M
LFNSSM-CRS-0225;Talla:select;L
LFNSSM-CRS-0225;Talla:select;XL
LFNSSM-CRS-0225;Talla:select;XXL
LFNSSM-CRS-0226;Talla:select;S
LFNSSM-CRS-0226;Talla:select;M
LFNSSM-CRS-0226;Talla:select;L
LFNSSM-CRS-0226;Talla:select;XL
LFNSSM-CRS-0251;Talla:select,Color:select;S,Rojo
LFNSSM-CRS-0251;Talla:select,Color:select;S,Negro
LFNSSM-CRS-0251;Talla:select,Color:select;S,Blanco
LFNSSM-CRS-0251;Talla:select,Color:select;M,Rojo
LFNSSM-CRS-0251;Talla:select,Color:select;M,Negro
LFNSSM-CRS-0251;Talla:select,Color:select;M,Blanco
